660,2020,2871,1883,2138,2118,1990,2361
659,2020,2871,1883,2138,2118,1990,2361
659,2020,2871,1883,2138,2118,1990,2361
658,2021,2871,1883,2138,2118,1990,2361
658,2021,2871,1883,2138,2118,1990,2362
658,2021,2871,1883,2137,2118,1991,2361
658,2022,2871,1882,2137,2118,1990,2362
658,2023,2871,1882,2138,2118,1990,2361
658,2024,2871,1882,2138,2118,1990,2362
659,2025,2871,1882,2138,2118,1990,2362
659,2025,2871,1882,2138,2118,1990,2361
658,2026,2871,1883,2138,2118,1991,2361
656,2027,2871,1882,2137,2118,1990,2361
655,2027,2871,1882,2137,2118,1991,2361
655,2028,2871,1882,2137,2118,1991,2362
654,2028,2871,1882,2137,2118,1991,2361
654,2027,2871,1882,2137,2118,1991,2362
654,2027,2871,1882,2138,2118,1991,2361
656,2027,2871,1882,2138,2118,1991,2362
657,2027,2871,1882,2137,2118,1991,2362
658,2029,2871,1882,2137,2118,1991,2361
659,2029,2871,1882,2137,2117,1989,2361
662,2029,2871,1879,2137,2116,1987,2361
668,2029,2871,1874,2137,2116,1987,2361
671,2030,2871,1866,2138,2116,1986,2361
675,2032,2871,1853,2137,2115,1987,2361
677,2034,2871,1836,2139,2114,1986,2362
679,2038,2871,1818,2140,2112,1986,2361
681,2046,2871,1797,2140,2110,1985,2362
683,2055,2871,1777,2140,2108,1982,2362
687,2067,2872,1757,2141,2107,1979,2362
689,2081,2871,1739,2144,2102,1972,2362
694,2097,2872,1723,2147,2092,1961,2362
697,2112,2872,1705,2148,2072,1945,2362
699,2125,2872,1689,2148,2048,1929,2362
698,2137,2872,1674,2150,2020,1914,2362
698,2146,2872,1658,2161,1986,1898,2362
701,2152,2872,1634,2190,1942,1882,2363
709,2153,2872,1605,2228,1895,1864,2363
719,2155,2872,1566,2271,1841,1852,2363
727,2157,2871,1525,2308,1792,1842,2360
737,2157,2870,1471,2332,1746,1837,2359
748,2159,2871,1410,2342,1713,1841,2359
756,2167,2872,1358,2347,1706,1842,2359
755,2182,2871,1313,2346,1706,1844,2360
751,2199,2871,1277,2346,1706,1844,2363
750,2213,2871,1251,2346,1706,1844,2363
749,2225,2871,1224,2347,1707,1845,2363
746,2238,2872,1205,2347,1711,1848,2363
737,2247,2871,1184,2347,1716,1852,2363
726,2254,2871,1154,2347,1725,1856,2363
715,2258,2870,1123,2348,1746,1866,2365
711,2259,2871,1093,2348,1783,1888,2367
713,2260,2871,1064,2348,1825,1924,2368
715,2256,2871,1041,2343,1852,1965,2369
714,2257,2871,1015,2336,1849,1980,2368
709,2257,2872,983,2325,1835,1979,2368
698,2259,2875,955,2313,1813,1979,2368
683,2264,2875,936,2299,1790,1979,2368
666,2264,2875,926,2285,1760,1980,2369
659,2257,2875,906,2274,1705,1979,2371
657,2246,2875,880,2264,1636,1981,2371
